MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
801265035052,801263035052,801.265035052,801.263035052,-0.066,0.082,0.995,0.0,0.0,-0.122,0.0003408058033944416,4.697,3.777,69.365
801275262288,801273262288,801.275262288,801.273262288,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0004703350519479771,4.697,3.777,69.364
801285519276,801283519276,801.285519276,801.283519276,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0004874429094559294,4.697,3.777,69.362
801295696052,801293696052,801.295696052,801.293696052,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00042365850165090413,4.697,3.777,69.36
801305867577,801303867577,801.305867577,801.303867577,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00030211331850365147,4.697,3.777,69.358
801316144691,801314144691,801.316144691,801.314144691,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0001367664252318204,4.697,3.777,69.356
801326383595,801324383595,801.326383595,801.324383595,-0.066,0.082,0.995,0.0,0.0,-0.183,-5.82777628749993e-05,4.697,3.777,69.354
801336788466,801334788466,801.336788466,801.334788466,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00027999385769148747,4.697,3.777,69.352
801346918864,801344918864,801.346918864,801.344918864,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0005114174190982792,4.697,3.777,69.35
801357170893,801355170893,801.357170893,801.355170893,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0007569565414531611,4.697,3.777,69.348
801367386754,801365386754,801.367386754,801.365386754,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.001009799521608884,4.697,3.777,69.346
801377623908,801375623908,801.377623908,801.375623908,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.001269030957363384,4.697,3.777,69.344
801388220997,801386220997,801.388220997,801.386220997,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0013582835140689168,4.697,3.777,69.342
801398758583,801396758583,801.398758583,801.396758583,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0013195382092859576,4.697,3.777,69.34
801409459219,801407459219,801.409459219,801.407459219,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0013755114845217312,4.697,3.777,69.338
801420015764,801418015764,801.420015764,801.418015764,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0014953974932975377,4.697,3.777,69.336
801430264877,801428264877,801.430264877,801.428264877,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0016561195453318094,4.697,3.777,69.334
801440422693,801438422693,801.440422693,801.438422693,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0018467144854369811,4.697,3.777,69.332
801450635929,801448635929,801.450635929,801.448635929,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.002061336478730379,4.697,3.777,69.33
801460852956,801458852956,801.460852956,801.458852956,-0.066,0.082,0.995,0.0,0.0,0.0,-0.0017728110048185733,4.697,3.777,69.328
801471074651,801469074651,801.471074651,801.469074651,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0016407124553921109,4.697,3.777,69.326
801481331347,801479331347,801.481331347,801.479331347,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0014478582735073264,4.697,3.777,69.324
801491613045,801489613045,801.491613045,801.489613045,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.001385217407259434,4.697,3.777,69.322
801502044458,801500044458,801.502044458,801.500044458,-0.066,0.082,0.995,0.0,0.0,0.0,-0.0008844853582104457,4.697,3.777,69.321
801512138021,801510138021,801.512138021,801.510138021,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0006045761527622459,4.697,3.777,69.319
801522356799,801520356799,801.522356799,801.520356799,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00047877226886996723,4.697,3.777,69.317
801532545242,801530545242,801.532545242,801.530545242,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00046401813153713927,4.697,3.777,69.315
801542770145,801540770145,801.542770145,801.540770145,-0.066,0.082,0.995,0.0,0.0,0.0,-9.39147181353815e-06,4.697,3.777,69.313
801553150223,801551150223,801.553150223,801.551150223,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00024414346504866857,4.697,3.777,69.311
801564368302,801562368302,801.564368302,801.562368302,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00034786724570548154,4.697,3.777,69.309
801573897252,801571897252,801.573897252,801.571897252,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0003451204693404379,4.697,3.777,69.307
801583661882,801581661882,801.583661882,801.581661882,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00027139099409986627,4.697,3.777,69.305
801593847408,801591847408,801.593847408,801.591847408,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0001403301501639928,4.697,3.777,69.303
801604275321,801602275321,801.604275321,801.602275321,-0.066,0.082,0.995,0.0,0.0,-0.183,-3.479632081913379e-05,4.697,3.777,69.301
801614467556,801612467556,801.614467556,801.612467556,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00023444131954543276,4.697,3.777,69.299
801624551285,801622551285,801.624551285,801.622551285,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.00045125729674613303,4.697,3.777,69.297
801636726664,801634726664,801.636726664,801.634726664,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0007087908620980188,4.697,3.777,69.295
801650050685,801648050685,801.650050685,801.648050685,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0009529772946726366,4.697,3.777,69.293
801655833859,801653833859,801.655833859,801.653833859,-0.066,0.082,0.995,0.0,0.0,0.0,-0.0006963186361744867,4.697,3.777,69.291
801666332651,801664332651,801.666332651,801.664332651,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.000584608604077984,4.697,3.777,69.289
801676483759,801674483759,801.676483759,801.674483759,-0.066,0.082,0.995,0.0,0.0,-0.183,-0.0005819262196646045,4.697,3.777,69.287
801686740455,801684740455,801.686740455,801.684740455,-0.066,0.082,0.995,0.0,0.0,-0.122,-0.0004835814295673171,4.697,3.777,69.286
801696965066,801694965066,801.696965066,801.694965066,-0.066,0.082,0.995,0.0,0.0,0.0,3.735746452969546e-05,4.697,3.777,69.284
801707198428,801705198428,801.707198428,801.705198428,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0003347378071317098,4.697,3.777,69.282
801717412831,801715412831,801.717412831,801.715412831,-0.066,0.082,0.995,0.0,0.0,-0.183,0.00047269006346169424,4.697,3.777,69.28
801727857953,801725857953,801.727857953,801.725857953,-0.066,0.082,0.995,0.0,0.0,-0.183,0.0004952092309712794,4.697,3.777,69.278
